"id","content"
"100000","那些自以为看透局势的人，往往只是看到了布局者希望他看到的东西。"
"100001","有时候解释是不必要的，因为往往他们不信你的解释，或者无需你的解释。"
"100002","每一种创伤，都是一种成熟。"
"100003","愚痴的人想要别人了解他，有智慧的人却努力地了解自己。"
"100004","不要憎恨你的敌人，那会影响你的判断力。"
"100005","只有破碎的心才有伤人的棱角。"
"100006","如果分手的恋人还能做朋友，要不从没爱过，要不还在爱着。"
"100007","女人的武器不是眼泪，而是微笑。"
"100008","如果你不能击败你的敌人，那么就加入他们。"
"100009","使人成熟的是经历，而不是岁月。"
"100010","人类就是为了知道自己是为了什么而活在这个世界上才会诞生在这里的。"
"100011","外表强势的人，内心通常是相反的。"
"100012","生与死的价值是同等，只有自己选择的死亡才是真正的自由。"
"100013","最痛的伤口，是从外面看不到的。"
"100014","死何其容易，只是留下来的人，才是最痛苦的。"
"100015","有些事情，可以理解但无法接受！"
"100016","“不可能”，“累”，“麻烦”，这三点制约了人类所拥有的无限可能性。"
"100017","如果没有航向，来自任何方向的风都不是顺风。"
"100018","不曾得到，谈何放下，既已得到，又如何放下。"
"100019","其实越是简单的东西，我们却往往反而无法深刻的解答，我们的认识只停留在表面的了解上！"
"100020","痛苦，是保持清醒的最好方式。"
"100021","究竟是我们太执着于所谓的自尊，还是我们都已经习惯了口是心非。"
"100022","记性太好，有时候是一种负担。容易忘记往事的人，是幸福的。"
"100023","在该拒绝时会拒绝，是能力；在不该拒绝时不拒绝，是智慧；清楚什么时候该拒绝、什么时候不该拒绝，是成熟。"
"100024","圆滑的人会走得很快，但到下坡路的时候，也会滚得很远。"
"100025","高兴时不做承诺，愤怒时不做决定。"
"100026","永远都不要盲目跟风，因为你不知道风叫什么名字，它从哪里来，它将去往何处。"
"100027","宁可犯错，也不要什么都不做。"
